question,answer
Do healthcare practitioners test thyroid hormones during pregnancy?,"Pregnancy causes normal changes in the function of many endocrine glands, including the thyroid gland. Healthcare practitioners do not generally test asymptomatic women, but those with symptoms and/or a known thyroid disorder will usually be tested at intervals to detect and monitor hyperthyroidism or hypothyroidism during pregnancy and after delivery of the baby.
Some experts have advocated screening pregnant women during the first trimester (or preconception) even if they do not have a history of thyroid disease. However, most guidelines do not support this course of action. For more information, see the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) webpage: Thyroid Disease and Pregnancy."
What medications can affect thyroid testing?,"Many multivitamins, supplements (especially hair and nail), and over-the-counter and prescription medications may affect thyroid test results and their use should be discussed with the healthcare practitioner prior to testing. For example, biotin (vitamin B7) can interfere with some lab tests, so your healthcare practitioner may advise you to refrain from taking biotin or supplements that contain biotin for a few days before having blood drawn for thyroid hormone testing. If you have a procedure done in which fluorescein dyes are injected into your blood (e.g., angiography), you may need to wait a few days before having thyroid testing done."
Do healthcare practitioners test thyroid hormones during pregnancy?,"Pregnancy causes normal changes in the function of many endocrine glands, including the thyroid gland. Healthcare practitioners do not generally test asymptomatic women, but those with symptoms and/or a known thyroid disorder will usually be tested at intervals to detect and monitor hyperthyroidism or hypothyroidism during pregnancy and after delivery of the baby.
Some experts have advocated screening pregnant women during the first trimester (or preconception) even if they do not have a history of thyroid disease. However, most guidelines do not support this course of action.
For more information, see the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) webpage: Thyroid Disease and Pregnancy."
My newborn had a free T4 test. Why?,"Newborns commonly have T4 levels and TSH levels tested to check for congenital hypothyroidism. Screening for this condition is routinely performed in the United States on newborns soon after birth as part of each state's newborn screening program. Congenital hypothyroidism occurs when a baby is born with an underactive thyroid gland or a thyroid gland that is not located where it should be or is missing completely. For more details, see the information at the Hormone Health Network's webpage on Congenital Hypothyroidism."
Are there things that I can do to raise or lower my free T4 level?,"In general, free T4 does not respond to lifestyle changes. What is important is that the thyroid gland is producing adequate amounts of free T4 and the body's feedback mechanism is responding appropriately. For those who do not produce enough free T4, thyroid hormone replacement medication can be given."
How long will I need to be on tacrolimus?,Transplant recipients must take tacrolimus or a different immunosuppressant (or combination of drugs) throughout their life. Talk to your healthcare practitioner about the best choice for your condition. This choice may change over time.
Who orders tacrolimus tests?,Tacrolimus will usually be monitored by the transplant team that performed the transplant or by a healthcare practitioner who has specific knowledge of the condition or disease for which the drug is prescribed.
Should I tell my other healthcare providers that I am taking tacrolimus?,"Yes, this is important information for them to have, partially because of drug interactions and partially because of the immunosuppressive action of tacrolimus. It can affect your ability to heal, to get vaccinations, and may increase your risk of developing certain cancers (such as skin cancers)."
What tests are usually done to evaluate a person for Alzheimer disease?,"If someone has symptoms of dementia, a healthcare practitioner will do a thorough work-up to try to determine the cause. This work-up may include a variety of cognitive tests (such as a Minimal Mental State Exam) to assess memory and possibly PET scanning tests of the brain to look for abnormalities. Read the article on Alzheimer Disease for additional details."
How is Alzheimer disease definitively diagnosed?,Alzheimer disease is currently diagnosed based on cognitive changes and by ruling out other causes of these changes. The diagnosis is definitively confirmed after death by looking for microscopic changes in a person's brain tissue. The microscopic evaluation involves looking for the number of amyloid plaques and neurofibrillary tangles found in the brain. Characteristic changes on brain scans (MRI or PET scans) and/or low beta amyloid and high tau protein levels in CSF (where available) may be ordered to help establish a diagnosis.
Can I have my blood tested for beta amyloid and tau instead of my CSF?,Not at this time. Studies of blood measurements of beta amyloid and tau have not shown them to be useful in determining what is occurring in a person's brain.
Should I get a tuberculosis skin test if I am pregnant?,"You may be tested under your healthcare practitioner's supervision if there is a need to do so. Since TB can be passed from mother to child during pregnancy, if you are at an increased risk of contracting TB, your healthcare practitioner may want you to have a TST or IGRA done. Either of these is considered safe during pregnancy."
What if I have a TST and it is more than 72 hours before I go back to have it evaluated?,"In most cases, if you do not return within the designated 48-72 hours, then your test cannot be adequately evaluated and would need to be redone."
"What are total testosterone, free testosterone, and bioavailable testosterone?","Most testosterone (up to 98%) circulates in the blood bound to proteins. A small amount of testosterone (less than 4%) circulates in the blood as free testosterone—it is not bound to protein. The bound plus unbound (free) testosterone is measured by labs as total testosterone.
Slightly less than one-third of the protein-bound testosterone is loosely bound to albumin, the main protein in the fluid portion of the blood. About two-thirds is tightly bound to another protein called sex hormone binding globulin or SHBG. The binding between testosterone and albumin is not very strong and is easily reversed. The free testosterone plus the albumin-bound testosterone is the bioavailable testosterone (BAT), which is the portion of testosterone that is available to act on target tissues.
In many cases, measurement of total testosterone provides a healthcare practitioner with adequate information. However, in certain cases, for example when the level of SHBG is abnormal, a test for free or bioavailable testosterone may be performed as it may more accurately reflect the presence of a medical condition. Decreased SHBG levels may be seen in obesity, hypothyroidism, androgen use, and nephrotic syndrome (a form of kidney disease). Increased SHBG levels may be seen with low testosterone production, cirrhosis, hyperthyroidism, and estrogen use."
What other lab tests may be performed?,"Depending on the reason for testing, other tests and hormone levels may be done in addition to testosterone testing. Some examples include:

SHBG
FSH, LH
Estrogens
Anti-Müllerian hormone (AMH)
Dehydroepiandrosterone sulfate (DHEAS)
Prolactin
17-Hydroxyprogesterone
Androstenedione"
"If I have a low testosterone level, will taking supplemental testosterone help?","Men who are diagnosed with consistently low testosterone levels and have related signs and symptoms may be prescribed testosterone replacement therapy to improve signs and symptoms. The American Urological Association recommends prescribing treatment only to men who meet the clinical and laboratory definitions of low testosterone. Testosterone replacement therapy may not be appropriate for everyone with a diagnosis of low testosterone. For example, the Endocrine Society recommends against routine replacement therapy for men over 65 and suggests making individualized treatment decisions for aging men. Treatment may also be inappropriate for individuals with certain health problems, such as prostate cancer or sleep apnea.
Some of the benefits and risks of hormone replacement therapy remain unclear and are the subjects of active research. It is important for you to talk to your healthcare practitioner about expectations for treatment and the potential side effects. Also read the Hormone Health Network patient guide Truth About Testosterone Therapy."
Is there a way to naturally increase my testosterone?,"There is not much that can be done to naturally increase testosterone levels. However, healthy lifestyle choices, including regular exercise, good nutrition, maintaining a healthy weight and avoiding use of illicit drugs and/or excess alcohol, can help keep testosterone levels within a normal range. You may wish to talk to your healthcare practitioner about identifying and treating any underlying conditions or use of medications that might be contributing to your symptoms."
"I am a woman, so why do I need a testosterone test?","Women's bodies also produce testosterone but in small amounts. It is needed for hormonal balance and to help women's bodies to function normally. If your body is producing too much testosterone, you may have more body hair than average, have abnormal or no menstrual periods, or be infertile. A testosterone test, in conjunction with measuring other hormone levels, can help your healthcare provider to understand what is causing your symptoms."
How are testosterone levels used to monitor transgender individuals?,"Some healthcare practitioners may order testosterone levels for transgender individuals to determine whether blood levels have reached or stabilized at target male ranges. Your healthcare practitioner can help explain the meaning of your test results. For more on this topic, visit the Hormone Health Network article on Transgender Health and Mayo Clinic’s article Masculinizing Hormone Therapy."
Are there different ways to measure testosterone as well as free and bioavailable testosterone?,"Yes, there are different methods that labs may use to measure testosterone, and there are reasons for using different methods.

For men, total testosterone can generally be measured using a method called immunoassay. This method is commonly available, less technical to perform, and is usually sufficiently accurate for measuring testosterone in men.
Testosterone levels in women, children, and some men (e.g., those treated for prostate cancer), are much lower than in healthy adult males. In these cases, it is recommended that labs use a method that is sensitive enough to measure testosterone accurately at lower levels. One sensitive method that is often used is called liquid chromatography-tandem mass spectrometry (LC-MS/MS). This method is more technical to perform and not all labs offer it. Samples may, however, be sent to reference labs for testing.
Free testosterone and bioavailable testosterone may be measured directly, or, more commonly, they are calculated based on results from total testosterone, SHBG and sometimes albumin tests."
Can other drugs I take affect theophylline levels?,"Theophylline can affect, and be affected by, a wide variety of drugs and compounds. When your healthcare practitioner prescribes theophylline, it is important for you to list and discuss all of the prescribed and over-the-counter medications that you are taking, including oral contraceptives and any herbal supplements such as echinacea, chamomile, and gingko. Your healthcare provider will also want to know the amount of caffeine and alcohol that you consume and whether or not you smoke."
Should I tell all of my doctors that I am taking theophylline?,Yes; this is an important part of your medical history and will have an effect on other treatment plans.
How long does a premature neonate have to take caffeine?,"In most cases, the caffeine is a short-term treatment, given for a few weeks until the baby matures and ceases to have apneic episodes."
Why is TDM important?,"Many of the drugs that require therapeutic monitoring are taken for a lifetime. They must be maintained at steady concentrations year after year while the person ages and goes through life events that may alter that individual's therapeutic level, including pregnancies, temporary illnesses, infections, emotional and physical stresses, accidents, and surgeries. Over time, people may acquire other chronic conditions that also require lifetime medication and that may affect the processing of their monitored drugs. Examples of these conditions include cardiovascular disease, kidney disease, thyroid disease, liver disease, and HIV.
Therapeutic drug monitoring follows these changes and accommodates them. It identifies when a person does not take the medication regularly as prescribed (patient noncompliance) and the effect of drug interactions, which may cause drug concentrations that are higher or lower than expected at a given dosage, and helps to personalize a dose to fit the specific needs of a patient. Along with tests such as BUN, creatinine, and liver function tests, therapeutic drug monitoring can help identify decreases in the efficiency of and dysfunctions in the body's ability to metabolize and eliminate therapeutic drugs. Testing may also determine how a medication interacts with other necessary drugs. "
How does a healthcare practitioner determine how much drug to give me?,"There are many factors to consider. Some of them are your weight, body composition, age, and general health and nutritional status. Other factors to consider are if you have any acute or chronic conditions such as kidney, liver, or heart conditions, of if you have suffered burns, shock, or trauma. Your health practitioner takes these into account when prescribing a dosage quantity and frequency and then tailors your medication based upon the results of therapeutic monitoring."
Can I monitor myself at home?,No. Blood must be collected at specific times and tests must be performed using special laboratory equipment.
What should I do if I forget to take my medication on time?,Do not double your dose the next time. Consult your healthcare practitioner or pharmacist to find out what you should do.
What are the pros and cons of the TPMT phenotype test and the genotype test?,"The opinions of medical organizations vary on which TPMT test to recommend. You should consult with your healthcare practitioner about which one best fits your individual situation. For example:

The U.S. Food and Drug Administration (FDA) and prescribing information for azathioprine and mercaptopurine recommend either TPMT genotyping or phenotyping prior to thiopurine treatment.
The American College of Gastroenterology prefers TPMT phenotyping for people who are being treated with thiopurines for inflammatory bowel disease because the phenotype test measures the level of TPMT enzyme activity."
Can the thrombin time be performed in my doctor's office?,"With the exception of a PT test, bleeding disorder tests, including the thrombin time, require specialized equipment and reagents and are typically performed in a laboratory."
Can I have decreased or abnormal fibrinogen and not know it?,"Yes. For many people, the clotting process functions relatively normally even when fibrinogen concentrations and/or activity are decreased. Your condition may not be identified unless pre-surgery screening identifies a potential problem or you bleed longer than expected after a surgical procedure or trauma."
Can thrombin time be used for monitoring dabigatran therapy?,"Dabigatran, a direct thrombin inhibitor, is one of the newly approved oral anticoagulants. Routine therapeutic monitoring is not required; however, monitoring may be needed in certain clinical conditions. Thrombin time or a modified plasma-diluted thrombin time (dTT) has been advocated for monitoring dabigatran therapy, but it has not been widely accepted as the standard practice. Instead, direct measurement of dabigatran level should be used if monitoring is indicated."
I will have several thyroglobulin tests done over time. Why do I need to have them done at the same lab?,"Laboratories may use different methods to test for thyroglobulin, so results can vary from lab to lab. If you are having a series of thyroglobulin tests done (several tests done on different days), it is advised that you have the tests done by the same method, typically by the same laboratory, so that the results can be compared and interpreted correctly. You may wish to discuss this issue with your healthcare provider."
I also had a test for thyroglobulin antibodies done. Why?,"Thyroglobulin antibodies (TgAb) are immune proteins produced that target thyroglobulin. Approximately 25% of patients diagnosed with thyroid cancer have detectable TgAb. Depending on the test method used by the laboratory, these antibodies can interfere with the results of the thyroglobulin test when present in the blood of the person being tested. If the antibodies are present, the Tg test may be unreliable for monitoring thyroglobulin levels. Alternatively, a test method that is not affected by TgAb may be used to monitor thyroglobulin. Recently it has become recognized that monitoring the trend in the TgAb level itself can be a useful marker for the presence/or absence of disease. Read the article on Thyroid Antibodies to learn more."
Why didn't my healthcare practitioner check my thyroglobulin level before removing my thyroid?,"Your thyroglobulin (Tg) level may or may not be measured before your thyroid gland is removed as part of the treatment for thyroid cancer. Since the protein is produced by normal thyroid tissue as well as by many thyroid cancers and can be elevated with many thyroid conditions, it can be difficult to determine whether an increased thyroglobulin is due to the cancer. However, once a diagnosis of thyroid cancer has been made from a biopsy of a thyroid nodule, a high thyroglobulin level before surgery is a useful indicator that the tumor produces thyroglobulin, indicating the usefulness of thyroglobulin as a post-operative tumor marker."
Is there anything I can do to raise or lower my thyroglobulin level?,"No, not directly. This test reflects the presence of normal and/or cancerous thyroid tissue and is not affected by lifestyle changes. Missing doses of your daily thyroid hormone treatment can cause TSH to rise, which in turn can stimulate thyroglobulin production from the small amount of normal thyroid tissue that typically remains following surgery for thyroid cancer."
Can thyroglobulin testing be performed in my healthcare practitioner's office?,"No, it requires specialized equipment to perform. The test may not be offered in every laboratory and may need to be sent to a reference laboratory. Due to certain technical limitations of the assay methods, normal reference ranges can vary and some thyroglobulin tests are unreliable in the presence of thyroglobulin antibodies (TgAb). Thus, when serial thyroglobulin levels are required, they should be performed at the same laboratory."
Are thyroid antibodies part of routine thyroid testing?,"No, they are usually only indicated when a person has an enlarged thyroid or symptoms suggesting thyroid dysfunction. Routine screening of the thyroid is usually accomplished using thyroid tests such as TSH and free T4."
Can thyroid antibody testing be done in my doctor's office?,"Though a blood sample may be collected at your healthcare provider's office, it will likely be sent to a laboratory for testing. These tests require specialized equipment to perform and are not offered by every laboratory. It may take several days for the results to be available."
What medications can affect a TSH test?,"Many multivitamins, supplements (especially hair and nail), and over-the-counter and prescription medications may affect thyroid test results and their use should be discussed with your healthcare practitioner prior to testing. For example, biotin (vitamin B7) can interfere with some lab tests, so your healthcare practitioner may advise you to refrain from taking biotin or supplements that contain biotin for a few days before having blood drawn for a TSH test. If you have a procedure done in which fluorescein dyes are injected into your blood (e.g., angiography), you may need to wait a few days before having a TSH test done."
Do healthcare practitioners test TSH during pregnancy?,"Pregnancy causes normal changes in the function of many endocrine glands, including the thyroid gland. Healthcare practitioners do not generally test asymptomatic women, but those with symptoms and/or a known thyroid disorder will usually be tested at intervals to detect and monitor hyperthyroidism or hypothyroidism during pregnancy and after delivery of the baby.
Some experts have advocated screening pregnant women for elevated TSH during the first trimester (or preconception) even if they do not have a history of thyroid disease. However, most guidelines do not support this course of action.
For more information, see the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) webpage: Thyroid Disease and Pregnancy."
My newborn had a TSH test done. Why?,"A TSH test may be used to screen for congenital hypothyroidism. Screening for this condition is routinely performed in the United States on newborns soon after birth as part of each state's newborn screening program. Congenital hypothyroidism occurs when a baby is born with an underactive thyroid gland or a thyroid gland that is not located where it should be or is missing completely. For more details, see the information at the Hormone Health Network's webpage on Congenital Hypothyroidism."
Are there things that I can do to raise or lower my TSH level?,"In general, TSH does not respond to lifestyle changes. What is important is that the pituitary and thyroid glands are healthy and working together to produce appropriate amounts of thyroid hormone."
What type of testing is used to confirm infection with these microorganisms?,"To make the diagnosis of an active infection with one of the TORCH pathogens, more specific confirmatory tests may be required. In a baby, cerebrospinal fluid testing (requiring a lumbar puncture or ""spinal tap"") is often used to confirm toxoplasmosis, herpes and rubella; urine may be cultured for cytomegalovirus; and skin lesions may be scraped and cultured for herpes simplex virus. Making the diagnosis of toxoplasmosis in the pregnant woman or the baby may require additional blood samples, which are sent to a reference lab that specializes in this testing."
Is there anything I can do to lower my IgE level?,"Other than limiting your exposure to things that you are allergic to, no. The total IgE concentration is not influenced by lifestyle changes, and lowering it would not have an effect on the number or type of allergies that you have."
Can the total IgE test be performed in my doctor’s office?,"In some cases, it might be available in an office or clinic, such as with a healthcare provider who specializes in allergies, but in most cases it will be performed in a laboratory."
How effective is the skin test for allergies?,"The skin of the arm or back is pricked with a needle containing a specific allergen, causing a red swelling when positive. It is very specific but requires multiple skin pricks for each type of allergen to be tested and must be interpreted by a trained specialist."
Will a high protein diet raise my total protein level?,"No, eating more protein will not increase your total protein test result."
What type of nutrition is recommended for optimal protein levels?,There is no specific diet. A well-balanced diet that follows the recommendations of the United States Department of Agriculture is summarized by the USDA Choose My Plate.
What are globulin proteins and how are they measured in blood?,"Globulins are a group of proteins in the blood, some produced by the liver and some by the immune system. They help fight infection and transport nutrients. There are four main types: alpha 1, alpha 2, beta, and gamma. They are measured using different tests:

Total protein test—measures albumin and globulin
Serum protein electrophoresis—can be used to measure the different groups of globulin proteins"
Can protein be measured in samples other than blood?,"Yes, a test for protein can be performed on many different types of body fluids. Proteins are also measured in urine. The purpose of urine testing and the meaning of results are different than from blood. See the articles on Body Fluid Testing, Urine Protein, and Urinalysis for more information."
Is toxoplasmosis contagious?,"It is not directly passed from person to person, except from mother-to-child. Almost all cases of infections come from eating, drinking, or handling something that is contaminated."
Should everyone be tested for toxoplasmosis?,"Since the infection is very common and in most cases does not cause symptoms, general screening is not currently recommended."
"Once I have had a Toxoplasma gondii infection, can I get infected again?","In general, once you have been infected and the primary infection becomes dormant, you have immunity against re-infection from an outside source if you remain healthy. However, if your immune system is weakened for some reason, a dormant infection may become reactivated. It is thought that most infections in people with weakened immune systems, such as those with HIV/AIDS, are due to reactivations rather than new infections."
Why is the T. gondii infection rate higher in some countries?,"The infection rate is higher in hot, humid locations and is influenced by the regional diet. It is higher in areas where people routinely eat undercooked meat."
Is toxoplasmosis treatable?,"Most healthy people do not require treatment, but there are treatments available for those with compromised immune systems, for pregnant women to help lessen the risk that the infection will be passed to the fetus, and for newborns with congenital toxoplasmosis. For more on treatment, see the Mayo Clinic or CDC web sites."
"Besides antibody and molecular tests, are there other ways of testing for toxoplasmosis?","Other tests, such as an IgG avidity test, may be performed by a reference laboratory to help confirm a T. gondii infection. Rarely, a sample of tissue may be removed (biopsy) from an area of the body that is suspected of being infected with the Toxoplasma parasite. The sample may be cultured and/or stained and examined under a microscope to detect the parasite. These procedures are usually reserved for cases that are difficult to diagnose."
Should everyone have their levels of trace minerals tested? ,It is generally not necessary. Most people in the United States who eat a variety of foods will get a sufficient amount of trace minerals from their diet.
Should I take mineral supplements? ,"Talk to your healthcare practitioner about taking supplements. If you are deficient, supplements may be of benefit to you, but there is no strong evidence to suggest that they benefit the average individual and may, in fact, increase your risk of toxicity. Those who take excess zinc can inhibit their use of copper. People who store excess iron or copper in their bodies must restrict and monitor their intake of these minerals as the buildup can damage tissues and organs."
What other minerals are required by the body? ,"Macrominerals are minerals that are required in greater amounts than trace minerals. They include sodium, potassium, calcium, magnesium, chloride, and phosphorus. Some also include sulfur in this category."
What other micronutrients are required by the body? ,"Micronutrients include trace minerals, the fat-soluble vitamins A, D, E, and K, and the water-soluble vitamins C and B complex (biotin, folate, niacin, pantothenic acid, riboflavin, thiamin, B6 and B12)."
How is transferrin saturation calculated?,"The calculation is:
Transferrin saturation (%) = (Serum iron level x 100%) / TIBC
TIBC measures the total amount of iron that can be bound by proteins in the blood. Since transferrin is the primary iron-binding protein, the TIBC test is a good indirect measurement of transferrin availability—the amount of transferrin that is available to bind to iron.
In healthy individuals, transferrin is one-third saturated with iron. This means that there is about two-thirds held in reserve. In iron deficiency, all of the stored iron is used and the body tries to compensate by producing more transferrin to increase iron transport. While the serum iron level continues to decrease, the transferrin level increases. Thus, the amount of transferrin available to bind iron (TIBC) increases and the amount of transferrin saturated with iron (i.e., percent transferrin saturation) decreases."
What other factors affect the transferrin level?,"Transferrin is a protein that may decrease during any inflammatory process and is referred to as a negative acute phase reactant. Chronic inflammation, infections, and malignancies may cause changes in transferrin levels."
Are there other things that cause anemia besides iron deficiency?,"Yes, there are numerous causes of anemia. However, iron deficiency is one of the most common. If iron tests rule out iron deficiency, another source for the anemia must be found. See the article on Anemia for more on this."
Should I tell my partner that I have trichomoniasis?,"Yes, you should tell your sexual partner(s) that you have trichomoniasis so that they can get tested and treated."
What complications can occur if the infection is not properly treated?,"Untreated or improperly treated trichomoniasis can result in an infection that can increase the risk of pelvic inflammatory disease (PID) and cervical neoplasia - a possible precursor to cervical cancer - in women. Pregnant women with trichomoniasis are at higher risk for having pre-term or low birth weight babies. Men are sometimes asymptomatic, resulting in chronic infection and re-infection of partner(s). In men, infection may lead to inflammation of the urethra and chronic prostatitis. In both men and women, trichomoniasis is a risk factor for HIV and is associated with infertility."
"If I get treated, can I get trichomoniasis again?","Yes. Even though treatment will cure your infection, you can get it again if you are exposed again. In fact, about one in five people get reinfected within 3 months after receiving treatment, according to the Centers for Disease Control and Prevention."
What strategies can be used to lower triglyceride levels?,"For many people, high triglycerides are caused by another disorder, such as diabetes, obesity, renal failure, or alcoholism. With these conditions, the strategy is to treat the primary cause. When high triglycerides are not caused by another disorder, they are often seen together with high cholesterol and treatment is directed toward lowering both cholesterol and triglycerides. Lifestyle changes, such as a healthy diet and increased exercise, are usually the primary strategy for lowering levels. If these fail, lipid-lowering medications such as statins are generally recommended. For more on this, visit the American Heart Association's webpage on Healthy Living."
Can I monitor triglyceride levels at home?,"A few products are available to test lipid levels, including triglycerides, at home. There are two types of home testing: those where you collect the sample at home and then mail it away to a laboratory for testing and those where you conduct the test yourself at home (self-monitoring). The American Heart Association hasn't taken a position on the use of home testing devices for measuring lipid levels. Before making the decision to use one of these products, you may want to review the article about home testing on this site: With Home Testing, Consumers Take Charge of Their Health."
Are there any symptoms associated with a high level of triglycerides?,"Usually, most people with high triglyceride levels have no symptoms and the only means of discovering a high level is with blood tests. However, in rare cases, a person may have an extremely high level of triglycerides (well above 1000 mg/dL) sustained over time and the individual may experience repeated bouts of acute pancreatitis. Some of the signs and symptoms include pain in the upper half of the stomach area that develops suddenly and then gradually gets worse, fever, nausea, vomiting, and sometimes jaundice. A person with severely high levels may also develop lesions on the skin called xanthomas. These typically appear as several small, round, solid, yellow bumps mostly on the back, chest, buttocks, shoulders and thighs."
What does heart attack mean?,"Heart attack means that some of the muscle tissue in your heart is severely injured or has died. The medical term for the death of cardiac muscle is myocardial infarction. Because it is not always possible to determine whether there is only serious injury or there is infarction, the general term for the condition is acute coronary syndrome (ACS).
Most commonly, a heart attack starts with a sensation of heavy pressure or pain in the chest, often extending into the neck or left arm. You may have trouble catching your breath or you may feel weak and break into a cold sweat. Read about What a Heart Attack Feels Like from the National Heart, Lung, and Blood Institute.
A heart attack usually occurs because one of the blood vessels (called coronary arteries) that brings blood to your heart muscle is blocked. This usually happens when a blood clot forms in a blood vessel that is already partially closed. The partial closure is usually due to atherosclerosis (often called hardening of the arteries). Obstruction occurs gradually over many years as lipid plaques are deposited along the walls of the blood vessels. These plaques narrow and stiffen the arteries and can rupture unexpectedly, totally blocking off the affected artery."
"If I have chest pain, does that mean I am having a heart attack?","Many other problems can cause chest pain, and it is not possible to tell from the type of chest pain whether or not you are having a heart attack. Many people have chest pain from straining the muscles in their chest, from heartburn or other problems involving the stomach and esophagus, from emotional stress, and with some lung problems. Chest pain that occurs during exercise, hard work, or at times of stress, lasts for a few minutes, and goes away with rest is often caused by angina. A relatively rare form of chest pain may be due to temporary heart spasms called variant angina. These spasms usually occur at night when a person is resting and can cause severe but temporary pain.
If chest pain lasts longer than just a few minutes, especially if it occurs when you are resting, seek immediate medical attention."
What if I am not sure if I am having a heart attack?,"Many people are not sure if they are experiencing a heart attack. If you are unsure, don't wait, but get help. Getting help right away can help you survive and treatments given soon after a heart attack can help limit the damage to your heart.
Note that not everyone will experience chest pain, and women are more likely than men to have signs and symptoms that are not typical. In women, symptoms are often less dramatic and more likely to be misinterpreted as due to another cause than in men. Some heart attacks are sudden while other heart attacks start slowly. The pain and other symptoms may come and go. Signs and symptoms may include:

Chest pain, discomfort and/or pressure (most common)
Rapid heart rate, skipping a beat
Nausea and vomiting or stomach pain
Sweating
Sudden onset of shortness of breath
Difficulty breathing
Feeling lightheaded
Change in blood pressure
Fatigue
Pain on other places such as the back, one or both arms, jaw or neck"
What other tests may be performed?,"Other tests may be used to evaluate a person's health status and to help rule out other conditions that can cause similar symptoms. These may include:

Allergen-specific IgE blood tests to help determine the cause of an allergic reaction
Complete blood count (CBC) to evaluate red and white blood cells
Comprehensive metabolic panel (CMP) to evaluate organ function
5-hydroxyindoleacetic acid (5-HIAA) urine test to rule out a carcinoid tumor that may cause similar symptoms, such as flushing, diarrhea, and/or wheezing
Gastrin test to look for increased secretion of this hormone, which may cause stomach or intestinal ulcers"
Can tryptase testing be done in my doctor's office?,"No, the tryptase test is a specialized test that is not offered in every laboratory and the sample must usually be sent to a reference laboratory for testing."
"If I think I have an allergy, should I have a tryptase test done?","Your healthcare practitioner may order specific allergy tests to help determine the substances you are allergic to, but a tryptase test would usually be done only if severe allergic symptoms are present. Most people with allergies will never need to have a tryptase test performed."
"If I have an elevated tryptase, does this mean I have mastocytosis?","Not necessarily. Tryptase is just one of the criteria that your healthcare provider will consider before making a diagnosis of mastocytosis, which is a rare disorder."
"Is there a reason to test a ""peak"" sample when my TNF inhibitor should be at its highest level, or a random sample (neither peak nor trough)?","No, the test has been developed to be interpreted as a trough level – when the TNF inhibitor will be at its lowest level."
Can I have my test performed in my healthcare practitioner’s office?,The test requires specialized equipment. Your sample will need to be sent to a laboratory.
Are the two tests always done together?,"Not necessarily. Sometimes the TNF inhibitor level or activity test is performed first. If the level or activity is low, then the TNF inhibitor antibody test is performed. This is called reflex testing. The two tests can be done on the same blood sample."
"Once I have developed TNF inhibitor antibodies, will they go away?","In most cases, these antibodies persist for as long as you receive that TNF inhibitor therapy. While antibody levels may decrease between doses or drop to undetectable levels if you are switched to a different therapy, the antibodies will usually come back if you are given another dose and/or started on the therapy again."
Can TNF inhibitor therapy cure my autoimmune disorder?,"No. It can help ease symptoms and let damaged tissues heal. It may help your condition go into remission, but it will not make it go away. Some progressive tissue damage such as scarring and joint erosion may not heal."
Do I need to tell other healthcare practitioners that I am on TNF inhibitor therapy?,"Yes, this is important information for them to have as it may affect other treatment decisions. An example of this is that you should not get any live vaccines while receiving TNF inhibitor therapy, and neither should your newborn if you are on TNF inhibitor therapy during pregnancy. Additionally, your healthcare practitioner should be notified because the therapy suppresses your immune system, increasing your risk of infections, such as COVID-19 and tuberculosis."
"If I develop antibodies to one type of TNF inhibitor therapy, and I am switched to a different one, will I develop antibodies to the second TNF inhibitor?","It is possible that you will develop TNF inhibitor antibodies to a second therapy. If your autoimmune condition remains active or you do not respond to the second therapy, you may need additional TNF inhibitor testing."
"My uric acid level is high, but I don't have gout. What does this mean?","Not everyone who has high uric acid gets gout. High levels of uric acid in the blood do not always lead to symptoms. This condition, called asymptomatic hyperuricemia, is fairly common. It is generally thought that this condition does not require any follow up or treatment unless the affected person is at a high risk of complications. People with family members who have had gout, kidney stones or kidney disease due to hyperuricemia may receive treatment even though they are not experiencing symptoms."
Is the time of day a factor when collecting a urine sample?,"Because this is a general screening test, time of collection is usually not important, although a first morning void may be preferred because it is more concentrated. However, if your healthcare provider is looking for a specific finding, you may be asked to collect a sample at a specific time."
Can a urinalysis be done in my healthcare practitioner’s office?,"Many healthcare providers' offices and clinics can perform the visual and chemical examinations of urine. Some may also be able to provide microscopic examinations. Sometimes, if abnormal results are found on the visual or chemical exams, your urine sample may be sent to a laboratory for the microscopic exam. Alternatively, your sample may be sent to a laboratory for a full urinalysis."
Are there home test kits available to test my urine?,"Kits to perform a full urinalysis are not available because the test requires special equipment and technical skills. However, some commercial testing strips can be purchased at a pharmacy to perform part of the chemical examination, such as urine pH, urine glucose, and urine ketones."
Are there other reasons for having increased urine albumin levels?,"Yes, albumin in the urine (albuminuria) is not specific for diabetes. It may also be associated with hypertension (high blood pressure), some lipid abnormalities, and several immune disorders. Elevated results may also be caused by vigorous exercise, blood in the urine, urinary tract infection, dehydration, and some drugs."
"What is the difference between serum/plasma albumin, prealbumin, and urine albumin tests?","Although the names are similar, albumin and prealbumin are completely different molecules. They are both proteins made by the liver, however, and both have been used historically to evaluate nutritional status. Serum or plasma (or blood) albumin is now more often used to screen for and help diagnose liver or kidney disease. The urine albumin test detects and measures albumin in the urine as an early indicator of kidney damage."
